"Plot Title: Brad_DG_2023-06-01"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Full Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Temp, °F (LGR S/N: 20342070, SEN S/N: 20342070)","Host Connected (LGR S/N: 20342070)","Coupler Detached (LGR S/N: 20342070)","Coupler Attached (LGR S/N: 20342070)","End Of File (LGR S/N: 20342070)"
323,06/01/23 10:45:16 AM,206.4,205.8,72.03,,,,
324,06/01/23 10:45:21 AM,206.1,205.8,72.03,,,,
325,06/01/23 10:45:26 AM,205.5,205.0,72.07,,,,
326,06/01/23 10:45:31 AM,205.1,204.7,72.07,,,,
327,06/01/23 10:45:36 AM,205.1,204.7,72.07,,,,
328,06/01/23 10:45:41 AM,205.1,204.7,72.07,,,,
329,06/01/23 10:45:46 AM,204.7,204.3,72.09,,,,
330,06/01/23 10:45:51 AM,204.3,203.9,72.09,,,,
331,06/01/23 10:45:56 AM,204.1,203.6,72.09,,,,
332,06/01/23 10:46:01 AM,204.1,203.6,72.09,,,,
333,06/01/23 10:46:06 AM,204.2,203.6,72.10,,,,
334,06/01/23 10:46:11 AM,203.6,202.8,72.10,,,,
335,06/01/23 10:46:16 AM,203.6,202.8,72.12,,,,
336,06/01/23 10:46:21 AM,203.5,202.8,72.12,,,,
337,06/01/23 10:46:26 AM,203.4,202.8,72.12,,,,
338,06/01/23 10:46:31 AM,203.6,202.8,72.14,,,,
339,06/01/23 10:46:36 AM,203.6,202.8,72.14,,,,
340,06/01/23 10:46:41 AM,203.1,202.5,72.14,,,,
341,06/01/23 10:46:46 AM,202.9,202.1,72.14,,,,
342,06/01/23 10:46:51 AM,202.9,202.5,72.16,,,,
343,06/01/23 10:46:56 AM,202.9,202.5,72.18,,,,
344,06/01/23 10:47:01 AM,202.9,202.1,72.18,,,,
345,06/01/23 10:47:06 AM,202.6,202.1,72.16,,,,
346,06/01/23 10:47:11 AM,202.7,202.1,72.18,,,,
347,06/01/23 10:47:16 AM,202.5,201.7,72.18,,,,
348,06/01/23 10:47:21 AM,202.6,202.1,72.21,,,,
349,06/01/23 10:47:26 AM,202.4,201.7,72.21,,,,
350,06/01/23 10:47:31 AM,202.4,201.7,72.21,,,,
351,06/01/23 10:47:36 AM,202.1,201.7,72.21,,,,
352,06/01/23 10:47:41 AM,202.4,201.7,72.21,,,,
353,06/01/23 10:47:46 AM,202.5,201.7,72.23,,,,
354,06/01/23 10:47:51 AM,202.1,201.7,72.23,,,,
355,06/01/23 10:47:56 AM,201.9,201.3,72.25,,,,
356,06/01/23 10:48:01 AM,202.0,201.3,72.25,,,,
357,06/01/23 10:48:06 AM,202.1,201.7,72.25,,,,
358,06/01/23 10:48:11 AM,201.9,201.3,72.25,,,,
359,06/01/23 10:48:16 AM,201.9,201.3,72.27,,,,
360,06/01/23 10:48:21 AM,201.9,201.3,72.27,,,,
361,06/01/23 10:48:26 AM,201.9,201.3,72.27,,,,
362,06/01/23 10:48:31 AM,201.8,201.3,72.27,,,,
363,06/01/23 10:48:36 AM,201.6,201.0,72.27,,,,
364,06/01/23 10:48:41 AM,201.5,201.0,72.28,,,,
365,06/01/23 10:48:46 AM,201.6,201.0,72.28,,,,
366,06/01/23 10:48:51 AM,201.6,201.0,72.27,,,,
367,06/01/23 10:48:56 AM,201.4,200.6,72.28,,,,
368,06/01/23 10:49:01 AM,201.5,200.6,72.28,,,,
369,06/01/23 10:49:06 AM,201.4,200.6,72.28,,,,
370,06/01/23 10:49:11 AM,201.4,200.6,72.28,,,,
371,06/01/23 10:49:16 AM,201.3,200.6,72.28,,,,
